Name,Nische,Ort,Inhaber,Telefon,Web_Ads_Status,Filter_Check,Prioritaet,Status,Naechster_Schritt,Notizen
"Küchenstudio Lorinser GmbH",Küche,Weingarten,,0751 7669870,"noch pruefen","AOV hoch, inhabergefuehrt (Chef persoenlich) - Ads pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Stettiner Str. 7, 88250 Weingarten"
"SCALA KüchenART (DAN Küchen)",Küche,Ravensburg,,0751 95895486,"noch pruefen","AOV hoch - Inhaber/Verbund pruefen",Mittel,Neu,"Web/Ads pruefen, dann anrufen","Meersburger Str. 158, 88213 Ravensburg; bedient Biberach/Bad Waldsee/FN"
"Buck Küchenstudio GmbH",Küche,Radolfzell,,07732 54813,"noch pruefen","AOV hoch, inhabergefuehrt - Ads pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Herrenlandstr. 72, 78315 Radolfzell; info@buck-kuechen.de"
"janik. küchen+wohnen",Küche,Radolfzell,,07732 8233539,"noch pruefen","AOV hoch, inhabergefuehrt (Premium) - Ads pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Werner-Messmer-Str. 1, 78315 Radolfzell; Premium-Segment"
"Die Kücheninsel GmbH",Küche,Radolfzell,,0162 6291949,"noch pruefen","AOV hoch - nur Mobilnr., Details pruefen",Mittel,Neu,"Festnetz recherchieren, Web/Ads pruefen, anrufen","Höllturm-Passage 2, 78315 Radolfzell"
"PLANA Küchenstudio Ravensburg",Küche,Ravensburg,,0751 3666090,"noch pruefen","AOV hoch - ABER PLANA-Franchise, Marketinghoheit pruefen",Niedrig,Neu,"Nur falls lokal entschieden wird","Jahnstr. 48, 88214 Ravensburg; Franchise"
"Vogt & Sitta",Bad,"Frickingen-Altheim",,07554 2104660,"noch pruefen","AOV hoch, Bad-Fokus, bedient Ueberlingen/Pfullendorf - Kapazitaet pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Wiesenweg 1, 88699 Frickingen-Altheim; Komplettbad/Modernisierung"
"K-Voigt Haustechnik",Bad,Weingarten,,0751 9587166,"noch pruefen","AOV hoch - Kapazitaet pruefen",Mittel,Neu,"Web/Ads + GBP pruefen, dann anrufen","Torkelweg 3, 88250 Weingarten; Bad/Heizung; bedient Bodenseeraum"
"Förschner GmbH",Bad,"Bad Saulgau",,07581 48870,"noch pruefen","AOV hoch - Kapazitaet pruefen",Mittel,Neu,"Web/Ads + GBP pruefen, dann anrufen","Neidleinstr. 5, 88348 Bad Saulgau; Badsanierung/Heizung; bedient Biberach/Ravensburg"
"Küchenforum Stefan Scheerle",Küche,Friedrichshafen,Stefan Scheerle,07541 27774,"noch pruefen","AOV hoch, inhabergefuehrt - Ads pruefen",Hoch,Neu,"Vor Ort/Anruf: Chef ansprechen","Werastr. 50, 88045 Friedrichshafen; Route Bodensee"
"MP-Küchen",Küche,Friedrichshafen,,07541 374330,"noch pruefen","AOV hoch - Inhaber/Ads pruefen",Mittel,Neu,"Vor Ort/Anruf","Albert-Maier-Str. 22, 88045 Friedrichshafen"
"Martin Hagenmaier Küchen (Küchenstudio Tettnang)",Küche,Tettnang,Martin Hagenmaier,07542 7664,"noch pruefen","AOV hoch, inhabergefuehrt - Ads pruefen",Hoch,Neu,"Vor Ort (Route Bodensee->Pfullendorf)","Oberhofer Str. 7, 88069 Tettnang; Inhaber Martin Hagenmaier"
"Küchen Krall GmbH",Küche,Markdorf,,07544 50900,"noch pruefen","AOV hoch, bekanntes Studio - Ads pruefen",Hoch,Neu,"Vor Ort/Anruf","Mangoldstr. 10, 88677 Markdorf; info@kuechen-krall.de"
"Harald Zoller GmbH",Küche,Aulendorf,,07525 92370,"noch pruefen","AOV hoch, inhabergefuehrt (auch Umzug/Logistik) - Ads pruefen",Hoch,Neu,"Vor Ort/Anruf (Route Ravensburg->Pfullendorf)","Auf der Steige 56/1, 88326 Aulendorf; zoller.de"
"Küchenstudio Salem",Küche,Salem,,07553 9176926,"noch pruefen","AOV hoch - Name/Inhaber vor Ort pruefen",Mittel,Neu,"Vor Ort/Anruf, Name verifizieren","Zum Ried 1, 88682 Salem"
"Küchen Block",Küche,Meckenbeuren,,07542 935050,"noch pruefen","AOV hoch, auf Route Tettnang/Ravensburg - Inhaber/Ads pruefen",Hoch,Neu,"Vor Ort (Route)","Karl-Maybach-Str. 7, 88074 Meckenbeuren; info@kuechen-block.de"
"Küchenstudio Hämmerle",Küche,Ravensburg,Alfred Hämmerle,,"noch pruefen","AOV hoch, inhabergefuehrt seit 1989 (mit Schreinerei) - Ads pruefen",Hoch,Neu,"Vor Ort (Route); Tel online/vor Ort holen","Eggartskircher Str. 12/1, 88213 Ravensburg; Inhaber Alfred Hämmerle; Telefon noch pruefen"
"Küchen Benz",Küche,Ostrach,,,"noch pruefen","AOV hoch, direkt auf Route Horgenzell->Pfullendorf - Inhaber/Ads pruefen",Hoch,Neu,"Vor Ort (Route); Tel online/vor Ort holen","Hechtweg 6, 88356 Ostrach; Telefon noch pruefen"
"Küchenplanung Schöllhorn (Edwin Schöllhorn)",Küche,Meckenbeuren,Edwin Schöllhorn,07542 3678,"noch pruefen","AOV hoch - ABER musterhaus-kuechen-Verbund, Marketinghoheit pruefen",Niedrig,Neu,"Nur falls lokal entschieden","Brochenzellerstr. 33, 88074 Meckenbeuren"
"Franz Kremmler Küchen",Küche,"Bad Waldsee",Franz Kremmler,,"noch pruefen","kleiner Beratungs-/Montagebetrieb - Kapazitaet/Ads pruefen",Niedrig,Neu,"Optional (Abstecher)","Welfenring 11, 88339 Bad Waldsee"
